pair_id	image	sentence_id	en_translation
1	1_118_4	1	it seems it is trolling the ambulance perhaps to the mechanic shop
1	1_119_0	1	a man and a woman are in a field
1	1_119_1	2	the woman is facing elsewhere.what is exactly happening?
1	1_119_2	1	they are in a field and there are spectators watching
1	1_119_3	2	why has the lady raised her left hand?
1	1_119_4	1	she is just standing but is seems she is guiding the people in the field.
1	1_11_0	1	a man is wearing a black coat and two women who have long hair are standing in a building around evening.
1	1_11_1	2	they are smiling. what exactly is happening?
1	1_11_2	1	they are taking photographs of themselves
1	1_11_3	2	that is very true. where exactly are they?
1	1_11_4	1	they are in a bar, and the men have applied some red lip stick on their lips.
1	1_120_0	1	a young man is sliding on a wall
1	1_120_1	2	on what is he sliding?
1	1_120_2	1	he is having ice skate boards on his feet
1	1_120_3	2	is that snow?
1	1_120_4	1	yes it is. it occurs mostly in cold countries
1	1_121_0	1	a man and a woman are standing, watching something.
1	1_121_1	2	what are they staring at?
1	1_121_2	1	there is some bush, and water flowing on the side
1	1_121_3	2	the lady in front is pointing. what are the rest doing?
1	1_121_4	1	most of them are taking pictures whilst someone else at a distance is wearing his shoes properly.
1	1_122_0	1	a young man is sliding
1	1_122_1	2	where exactly is he playing from?
1	1_122_2	1	he is playing near a garage
1	1_122_3	2	it appears as if it is evening time. what time is it?
1	1_122_4	1	for sure it is evening time, and the light is only coming from the bulbs.
1	1_123_0	1	a brown dog is running
1	1_123_1	2	it is all dressed up. what is it wearing?
1	1_123_2	1	it is wearing a Jersey for identification and it is in a competition
1	1_123_3	2	where are the rest of the dogs and what is it that is covering the mouth?
1	1_123_4	1	perhaps they are either behind or in front of the dog and that thing around the mouth is a muzzle
1	1_124_0	1	a green vehicle is on some stones.
1	1_124_1	2	do vehicles move along the stones?
1	1_124_2	1	they vary. most of the vehicles that actually move on stones have huge tyres
1	1_124_3	2	so does this vehicle moving have huge tyres?
1	1_124_4	1	definitely. that is why it is managing to move over the stones.
1	1_125_0	1	a young man on an ice skate board has jumped high
1	1_125_1	2	how is he able to jump that high?
1	1_125_2	1	the sides are suitable for sliding.
1	1_125_3	2	are the people involved in this game wearing protective clothing?
1	1_125_4	1	not really. they only wear what protects their faces from the wind
1	1_126_0	1	a child is crying
1	1_126_1	2	where is he seated?
1	1_126_2	1	he is seated on some really green grass
1	1_126_3	2	what is the child doing?
1	1_126_4	1	it seems the child was left on its own by the parents.
1	1_127_0	1	a young lady is on the sea shore
1	1_127_1	2	what is she doing?
1	1_127_2	1	the lady is stretching herself, her waist raised, and her hands under her feet
1	1_127_3	2	who is she with at the sea shore?
1	1_127_4	1	she is just alone as there is no one in view.
1	1_128_0	1	a lady is putting the child on a swing
1	1_128_1	2	who else is on this swing?
1	1_128_2	1	they are just alone. there are no any other children playing.
1	1_128_3	2	is the child managing to slide on its own?
1	1_128_4	1	yes of course. the game is easy.
1	1_129_0	1	a child is walking in a pathway
1	1_129_1	2	what is happening?
1	1_129_2	1	the child is walking along the road and on the side there are flowers and trees
1	1_129_3	2	what is this little boy doing?
1	1_129_4	1	on one hand he has lifted a dish, while the other is raised in the air.
1	1_12_0	1	a dark-skinned man wearing a black coat is walking along a road, and on the side is a tall wall of a building
1	1_12_1	2	he has really paid a lot of attention to where he is going. where is he going?
1	1_12_2	1	perhaps he is walking home from work
1	1_12_3	2	in his background are some people. where exactly do you think he is?
1	1_12_4	1	he is in a town as is evident from the many huge buildings.
1	1_130_0	1	a man is on a wall
1	1_130_1	2	what is he doing?
1	1_130_2	1	he is climbing a wall without a rope
1	1_130_3	2	won't he fall down?
1	1_130_4	1	no he won't because he seems skilled to climb walls.
1	1_131_0	1	an old man is in a shop
1	1_131_1	2	what do they sell in this shop?
1	1_131_2	1	among other things, there are also vegetables.
1	1_131_3	2	what is the old man doing?
1	1_131_4	1	perhaps he wants to buy vegetables as he is standing where vegetables are.
1	1_132_0	1	three women are standing
1	1_132_1	2	what are they doing?
1	1_132_2	1	one has bowed down while the other two are looking at each other.
1	1_132_3	2	they are all wearing rhs same clothes. are they  school-going?
1	1_132_4	1	no they are not. they are at their work place, discussing.
1	1_133_0	1	two dogs are in grass running around
1	1_133_1	2	there are three tall trees
1	1_133_2	1	these trees are at a distance
1	1_133_3	2	they are just in a field.
1	1_133_4	1	they are simply playing in the grass.
1	1_134_0	1	a dog is running
1	1_134_1	2	where is it running to?
1	1_134_2	1	it seems it is chasing after someone
1	1_134_3	2	what kind of fur does it have?
1	1_134_4	1	it  has black fur and its mouth is open as it is running.
1	1_135_0	1	a man is standing on a rock on top
1	1_135_1	2	is he merely standing?
1	1_135_2	1	not really. he has also stretched his hand
1	1_135_3	2	the stone appears roundish. who else is with him?
1	1_135_4	1	the  man is just alone as he is taking pictures.
1	1_136_0	1	a man and a woman are seated on a table
1	1_136_1	2	the lights are on. what time is it?
1	1_136_2	1	it is night time since it is dark
1	1_136_3	2	what are they doing?
1	1_136_4	1	they are simply chatting while others are just drinking
1	1_137_0	1	a dog is running
1	1_137_1	2	is it just running or it is chasing after someone?
1	1_137_2	1	well it sure does seem it is chasing after someone
1	1_137_3	2	where is the dog exactly?
1	1_137_4	1	it seems to be in a field that is evergreen
1	1_138_0	1	a little girl is playing in a field 
1	1_138_1	2	she is wearing a uniform. is she at school, 
1	1_138_2	1	yes of course she is definitely a school-going child
1	1_138_3	2	what is the child doing?
1	1_138_4	1	she is skipping over a rope that she is holding with her two hands.
1	1_139_0	1	a man is diving into the water
1	1_139_1	2	is he diving from a very high place?
1	1_139_2	1	yes it is certainly high, but because he is diving into water, he may not hurt himself as opposed to if he were jumping into stones.
1	1_139_3	2	what is causing him to jump?
1	1_139_4	1	the place is quite hot as it is very sunny.
1	1_13_0	1	A rugby player is wearing a helmet that is yellow in colour and is standing right behind a ball.
1	1_13_1	2	he is wearing a green shirt and there seems to be a great crowd. where exactly is he?
1	1_13_2	1	he is in a field, as is clearly seen from the lines drawn in the field.
1	1_13_3	2	why is he wearing a helmet?
1	1_13_4	1	he is wearing a helmet for protecting himself as rugby is quite a violent game.
1	1_140_0	1	a man is on a skate board
1	1_140_1	2	he is shirtless. what kind of trousers is he wearing?
1	1_140_2	1	he is wearing a brown trousers. it certainly is very hot
1	1_140_3	2	what is exactly happening?
1	1_140_4	1	he is jumping over a metal rod lying down
1	1_141_0	1	a dog has jumped to some height
1	1_141_1	2	it has a short tail. what kind of fur does it have?
1	1_141_2	1	it  has brown fur
1	1_141_3	2	where is this dog?
1	1_141_4	1	the field appears green and there are some roof sheets on the side
1	1_142_0	1	a dog is diving into the water
1	1_142_1	2	the side of the river appears green. isn't the dog likely to drown?
1	1_142_2	1	not really. most dogs actually know how to swim and can't drown
1	1_142_3	2	what kind of fur does it have?
1	1_142_4	1	it has very black fur.
1	1_143_0	1	a child is playing on its own
1	1_143_1	2	what game is the child playing?
1	1_143_2	1	the child is just seated inside there are some toys
1	1_143_3	2	is the child happy with the toys?
1	1_143_4	1	most certainly. otherwise the child would be crying.
1	1_144_0	1	five men and women are  seated, together.
1	1_144_1	2	how many women are there?
1	1_144_2	1	there are three women, all of whom are older ones
1	1_144_3	2	there are only two women. what are they doing?
1	1_144_4	1	they are simply seated during the evening taking pictures
1	1_145_0	1	a man is standing as he is taking photographs
1	1_145_1	2	how is he exactly standing as he is taking photographs?
1	1_145_2	1	he has raised both of his hands.
1	1_145_3	2	what kind of place is he in?
1	1_145_4	1	it has some small stones that are not swept along with the water and behind him is a really huge rock.
1	1_146_0	1	a little boy is playing
1	1_146_1	2	where exactly is he playing?
1	1_146_2	1	he is on a swing
1	1_146_3	2	among the three swings that are there, the little boy is playing on the first one. how is he seated on this swing?
1	1_146_4	1	he is lying on his tummy and he is wearing a cap
1	1_147_0	1	a child is in a play geound
1	1_147_1	2	where is the child exactly?
1	1_147_2	1	he is playing on a slide
1	1_147_3	2	what is the child doing?
1	1_147_4	1	he is basically sliding while lying
1	1_148_0	1	ladies and young men are playing in an area that appears white to sight
1	1_148_1	2	what are they all doing?
1	1_148_2	1	some are turning a wheel while the others are sliding on a lid-like object.
1	1_148_3	2	why are they all wearing jerseys?
1	1_148_4	1	it is because this place is extremely cold such that even the slightest sunlight is rare.
1	1_149_0	1	two dogs are chasing each other
1	1_149_1	2	what is exactly happening?
1	1_149_2	1	the dog that is behind is chasing after the other one which has a stick in its mouth
1	1_149_3	2	the tummies of both dogs has white fur. what is the colour of the rest of the body?
1	1_149_4	1	they are both brown.
1	1_14_0	1	
1	1_14_1	2	
1	1_14_2	1	
1	1_14_3	2	
1	1_14_4	1	
1	1_150_0	1	a man is standing with a lady
1	1_150_1	2	how many are they altogether?
1	1_150_2	1	in total they are all three, however one woman is squatting
1	1_150_3	2	what is exactly happening?
1	1_150_4	1	the man and the woman are taking photographs and they srw both smiling.
1	1_151_0	1	a dog is in a bush
1	1_151_1	2	what is exactly happening?
1	1_151_2	1	well, it is simply walking
1	1_151_3	2	why does the place appear white?
1	1_151_4	1	this is because it is extremely cold hence it snows, and that is why it is white all over.
1	1_152_0	1	a woman is preparing some food
1	1_152_1	2	what meal is it
1	1_152_2	1	it seems it is breakfast as there are buns as well as spread.
1	1_152_3	2	for whom is she serving.
1	1_152_4	1	she is serving a child as pictures have been taken.
1	1_153_0	1	a man  is in a building
1	1_153_1	2	what is happening in the building?
1	1_153_2	1	he is praying
1	1_153_3	2	what else is in the building?
1	1_153_4	1	there are some flowers in the front and that is where they have placed their idols.
1	1_154_0	1	a brown dog is seated
1	1_154_1	2	what is exactly happening?
1	1_154_2	1	it is not doing anything asides from panting.
1	1_154_3	2	where is it seated?
1	1_154_4	1	it is simply seated on the green grass.
1	1_155_0	1	two men are on a skate board
1	1_155_1	2	why is it appearing dusty?
1	1_155_2	1	they are competing as they skate
1	1_155_3	2	why are they wearing thick helmets on their heads?
1	1_155_4	1	it is to protect them from any form of danger 
1	1_156_0	1	two dogs are running 
1	1_156_1	2	what are the dogs running away from?
1	1_156_2	1	 well, it actually seems that the one that is behind is chasing after the one that is in front.
1	1_156_3	2	what kind of fur do these dogs have?
1	1_156_4	1	the one in front has brown fur while the one at the back has black fur.
1	1_157_0	1	a man is on the sea
1	1_157_1	2	what is he doing?
1	1_157_2	1	he has stepped on a small boat which is now rushing into the water.
1	1_157_3	2	isn't he in danger of drowning?
1	1_157_4	1	he could be in danger especially if he does not know how to sswim.
1	1_158_0	1	a man is seated in a green area
1	1_158_1	2	what is exactly happening?
1	1_158_2	1	he is playing his guitar
1	1_158_3	2	the place he is in seems to have an evergreen lawn. where exactly is he?
1	1_158_4	1	he seems to be  in a play park where people just come for relaxing and leisure.
1	1_159_0	1	two women and two men are playing some music
1	1_159_1	2	where exactly are they playing they music from?
1	1_159_2	1	well, they are playing along the way.
1	1_159_3	2	why are they doing so?
1	1_159_4	1	this is one way they raise money from passersby.
1	1_15_0	1	an old man is carrying a young girl who has extremely black hair on his back
1	1_15_1	2	why is he carrying her on his back?
1	1_15_2	1	perhaps he wants to move really fast she she was probably moving slowly.
1	1_15_3	2	that is very right. where are they?
1	1_15_4	1	they seem to be returning from a celebration as the child is holding a flower in her hands.
1	1_160_0	1	a little boy is playing in the surrounding
1	1_160_1	2	what kind of game is he playing?
1	1_160_2	1	he has a small ball which he is catching after throwing it into the air.
1	1_160_3	2	who is this little boy with?
1	1_160_4	1	well, there are no houses nor people nearby, however some swings are in view.
1	1_161_0	1	two young ladies are seated down 
1	1_161_1	2	what is in this place that these ladies are at?
1	1_161_2	1	there is simply green grass and they also have a dog.
1	1_161_3	2	this dog appears quite small. in this area, there are also trees.
1	1_161_4	1	these ladies are relaxing and chatting
1	1_162_0	1	a young man is in a stadium with a ball in his hands 
1	1_162_1	2	what kind of game is he playing in the stadium?
1	1_162_2	1	he seems to be playing a game that bounces a ball back and forth. perhaps basketball!
1	1_162_3	2	 he is wearing  a black short as he runs
1	1_162_4	1	the ball has some writings on it, as well as on his shirt. 
1	1_163_0	1	a dog is running about in some dry grass
1	1_163_1	2	what is the dog having in its mouth?
1	1_163_2	1	it is having a dry stick in its mouth. what is the dog looking like?
1	1_163_3	2	this dog is quite huge and it has both brown and white fur
1	1_163_4	1	the dog has its ears upright and its tail waggling. is it standing on some stones.
1	1_164_0	1	some young men are playing around evening time outside 
1	1_164_1	2	what helped you see that it is evening time? these young men are four in number
1	1_164_2	1	it is because it is cold outside and they also look very happy.
1	1_164_3	2	one of the men has actually raised a bottle of wine.
1	1_164_4	1	behind them are really tall buildings.
1	1_165_0	1	a dog is running away, leaving the sea to the sea shore
1	1_165_1	2	what caused the dog to go and bath in the water?
1	1_165_2	1	well, it is because it knows how to bath
1	1_165_3	2	however it does seem cold from its appearance
1	1_165_4	1	the dog has a black belt around its neck
1	1_166_0	1	two young men are wearing the same clothes.
1	1_166_1	2	they are in a competition and they have both faced upward
1	1_166_2	1	for what reason have they faced upward? 
1	1_166_3	2	it is all in an effort to catch the ball that has been thrown high up
1	1_166_4	1	behind these young men is a man  dressed in white clothing.
1	1_167_0	1	some people are riding some black donkeys
1	1_167_1	2	what else is in this place?
1	1_167_2	1	they are along the sea shore that has a lot of sand.
1	1_167_3	2	are they in a competition or are they just having fun?
1	1_167_4	1	it seems they are just having fun as the donkeys are not running.
1	1_168_0	1	two children are playing in the sand 
1	1_168_1	2	one of them is a girl and the other is a boy
1	1_168_2	1	the boy is on a swing while the girl is just on sand
1	1_168_3	2	the girl is the one who is actually pushing the swing.
1	1_168_4	1	they both look very happy.
1	1_169_0	1	a young man is smoking cigarette and has even placed it in his mouth
1	1_169_1	2	he has unkempt hair
1	1_169_2	1	he has hanged a bag on his shoulder
1	1_169_3	2	perhaps that bag is full of cigarettes
1	1_169_4	1	there are people walking along the side.
1	1_16_0	1	a man and a woman are seated on top of a mountain chatting, and in front of them is a mountain that appears shiny
1	1_16_1	2	the top of the mountain appears white. what is that , which is making it look whiye?
1	1_16_2	1	it is simply snow.
1	1_16_3	2	why are they not seating on snow?
1	1_16_4	1	well, that is obviously because it is obviously cold as they are also wearing warm clothes.
1	1_170_0	1	some ladies are wearing very beautiful dresses
1	1_170_1	2	they are dressed as people going to celebrate or to dance 
1	1_170_2	1	one lady is wearing a blue dress and she is very happy.
1	1_170_3	2	the other lady is wearing a white dress, with something on her head.
1	1_170_4	1	what is it exactly that has made them to be so excited?
1	1_171_0	1	a young man is walking his dogs
1	1_171_1	2	how many dogs is he walking?
1	1_171_2	1	there are three white dogs with some spots.
1	1_171_3	2	the young man is wearing black clothes.
1	1_171_4	1	they are on a road that has some vehicles 
1	1_172_0	1	there are two dogs and one of  them is black
1	1_172_1	2	are these dogs fighting or playing?
1	1_172_2	1	these dogs are just playing and they are big dogs 
1	1_172_3	2	the dogs are playing on some well-trimmed lawn
1	1_172_4	1	the dogs are on their own. there is nobody else with them.
1	1_173_0	1	a dog is standing with its mouth open
1	1_173_1	2	there are some wooden rods standing near the vehicle.
1	1_173_2	1	on the side are some small buildings.
1	1_173_3	2	Can people stay in these small buildings?
1	1_173_4	1	not at all. they are extremely small for human settlement.
1	1_174_0	1	a gentleman and young lady are seated in a room 
1	1_174_1	2	they are seated on extremely white couches
1	1_174_2	1	the lady seems to be very happy
1	1_174_3	2	they are both watching television
1	1_174_4	1	perhaps she is laughing at what is showing on the screen
1	1_175_0	1	a young man is standing and on the side, there are other people
1	1_175_1	2	what is the clothing he is wearing looking like?
1	1_175_2	1	the clothing is blue in colour
1	1_175_3	2	the young man appears excited.
1	1_175_4	1	his hair  is plaited neatly.
1	1_176_0	1	two Chinese women are standing quite apart from each other
1	1_176_1	2	they are all looking in the same direction. what is exactly happening?
1	1_176_2	1	they are just standing and one of them has a bag yet the one standing near a wall has no bag at all
1	1_176_3	2	what is happening at the place they are standing?
1	1_176_4	1	they seem to be standing in a business area and behind the lady carrying a  bag, someone is selling some sneakers 
1	1_177_0	1	a dog is in a field full of green grass
1	1_177_1	2	what is causing it to run?
1	1_177_2	1	it is running after a white ball
1	1_177_3	2	this dog has black fur and in this place there are no other people. why is it in this place on it's own?t
1	1_177_4	1	the place is full of trees and so are some houses at a distance. it is in a bush.
1	1_178_0	1	an expert specialised in whistling is whistling
1	1_178_1	2	the whistles are quite many and are connected to the same thing  
1	1_178_2	1	once one whistle is blown, all will be blown
1	1_178_3	2	on the side is a man who really wants to hold it. how many people are needed to play the whistles?
1	1_178_4	1	at least two people are sufficient as it is not very easy to play these whistles on your own.
1	1_179_0	1	a baby is being bathed.
1	1_179_1	2	the baby is so happy that it is even smiling. what else is the baby doing? 
1	1_179_2	1	the baby has his. hand stretched out as a photo is being taken of him
1	1_179_3	2	the baby's eyes are open. won't the soap get in contact with the eyes?
1	1_179_4	1	not at all. the soap's foam is in the head and not on the face
1	1_17_0	1	a man wearing a head sock is seated with clowns during evening time.
1	1_17_1	2	how is the ground appearing?
1	1_17_2	1	well, there are black papers.
1	1_17_3	2	what are the clowns doing?
1	1_17_4	1	one of them is standing on its two hind legs and the other three are eating foods being picked from the ground.
1	1_180_0	1	a young man is on a skating board
1	1_180_1	2	at a distance is a crowd of people.  what is really happening?
1	1_180_2	1	the young man is involved in a competition of skating
1	1_180_3	2	the skate board has two wheels. what has the boy done?
1	1_180_4	1	for the fact that he is happy, this young man even has  the front wheel. perhaps it is for the expert.
1	1_181_0	1	two dogs are running
1	1_181_1	2	one is male and the other  is female. what is exactly happening?
1	1_181_2	1	they dogs are chasing after some other animals
1	1_181_3	2	it is common to find various animals in the bush. where exactly are the dogs?
1	1_181_4	1	it certainly seems it is in a bush.
1	1_182_0	1	a little boy is playing in a field
1	1_182_1	2	the field has green grass. what game is he playing?
1	1_182_2	1	he is jumping over what looks like a lid.
1	1_182_3	2	he is very happy. won't he get hurt with the game that he is playing?
1	1_182_4	1	falling  is a must however the grass may protect him from getting hurt. 
1	1_183_0	1	a man wearing a green trousers is involved in some games.
1	1_183_1	2	he is wearing a very warm coat. why is he wearing a warm coat?
1	1_183_2	1	this is because he comes from a very cold country.
1	1_183_3	2	ultimately, he is wearing very warm clothing
1	1_183_4	1	on the ground is some snow.
1	1_184_0	1	two female are along side the road, standing
1	1_184_1	2	the older woman is leaning against a wall while hugging the younger child.
1	1_184_2	1	behind the wall  are some sand. where exactly are they?
1	1_184_3	2	perhaps they are near the sea shore because that is where a lot of sand is found.
1	1_184_4	1	they have both focused their attention to the phone while wearing headsets. it is almost as if they are listening to something.
1	1_185_0	1	a woman is on a road walking
1	1_185_1	2	well, not exactly a road but a pathway where people pass, on the road.
1	1_185_2	1	on her right hand side are beautiful flowers that have been cut very well.
1	1_185_3	2	on her left hand side are some vehicles moving
1	1_185_4	1	it is so hot that the Lady is wearing a hat
1	1_186_0	1	a young man is in a field, playing
1	1_186_1	2	he has stepped on a skate board. what is he doing?
1	1_186_2	1	he has his hands raised obviously to help him to balance.
1	1_186_3	2	what time does it seem to be?
1	1_186_4	1	well, it appears to be about evening time. and not so far  from him is a black sheep.
1	1_187_0	1	a man is on a bicycle in a bush
1	1_187_1	2	there is someone who is watching what is happening in the bush.what is exactly happening?
1	1_187_2	1	they man on the bicycle is in a bicycle riding completion.
1	1_187_3	2	why are his feet, trousers and wheels of the bicycle having mud?
1	1_187_4	1	it seems it may have just finished raining and that is why it is muddy all over.
1	1_188_0	1	a man is sliding to the bottom from a mountain
1	1_188_1	2	he has a wooden rod in his hand. what is it used for?
1	1_188_2	1	the rod definitely helps him not to fall and to easily change direction as he descends the mountain
1	1_188_3	2	he also has a covering on his face. what is its purpose?
1	1_188_4	1	the purpose it to prevent dust from entering his eyes
1	1_189_0	1	a man and woman are standing in a building
1	1_189_1	2	there are other people seated.  what kind of building are they in?
1	1_189_2	1	in this building are some DJs to whom everyone else is listening to.
1	1_189_3	2	why is the man and woman standing?
1	1_189_4	1	it seems that they are simply meeting after a long time as the man is carrying a bag on his back. they are actually kissing.
1	1_18_0	1	a good number of men are in a stadium full of grass playing some soccer.
1	1_18_1	2	where exactly are they playing from?
1	1_18_2	1	obviously it is in a stadium as is seen from the green grass
1	1_18_3	2	why are some of them shirtless?
1	1_18_4	1	they two teams are not wearing same clothes.
1	1_190_0	1	a young man is on a bicycle, jumping in the air
1	1_190_1	2	he seems to be in what appears to be old budings. who is he with?
1	1_190_2	1	he is just alone as he is playing on his bicycle.
1	1_190_3	2	the handles of the bicycle are facing backward. isn't he in danger?
1	1_190_4	1	he has raised one hand in the air, while on hand is holding the handle even though it is facing backward. henceforth, he is not in any danger at all..
1	1_191_0	1	a black dog is playing in the sand
1	1_191_1	2	it seems to want to catch something hence it has jumped.
1	1_191_2	1	the place where the dog  is, is completely surrounded with sand.
1	1_191_3	2	what exactly is this sand looking like?
1	1_191_4	1	it appears white in colour. it is the type that  is found on sea shores.
1	1_192_0	1	two dogs are running. it seems as if there is someone chasing them
1	1_192_1	2	one of the dogs has a muzzle perhaps to prevent it from biting anyone.
1	1_192_2	1	what is the dog having the muzzle on looking like?
1	1_192_3	2	it appears white with black spots
1	1_192_4	1	they both have belts around their necks.
1	1_193_0	1	a woman is standing in a field
1	1_193_1	2	she has one hand raised while the other one, she has made a fist
1	1_193_2	1	she has her mouth opened as if she is shouting
1	1_193_3	2	she seems to be just playing in the field. what is she exactly wearing?
1	1_193_4	1	she is wearing blue clothes together with her friends.
1	1_194_0	1	a woman is playing in a room
1	1_194_1	2	she even has what to play with.
1	1_194_2	1	in this room are some shoes and a box
1	1_194_3	2	the woman is wearing a red dress.
1	1_194_4	1	she seems to be very happy with what she is playing with.
1	1_195_0	1	a mother and her child are seated on top of a rock
1	1_195_1	2	this rock is quite big, almost like a rock like hill
1	1_195_2	1	they are descending the rock very carefully
1	1_195_3	2	the mother is wearing a trousers while the child is wearing a dress.
1	1_195_4	1	this rock  is quite tall.
1	1_196_0	1	a crowd of people are gathered in one place.
1	1_196_1	2	they are watching people standing in front of them
1	1_196_2	1	some are even having an umbrella
1	1_196_3	2	why do they have an umbrella?
1	1_196_4	1	it is for protection against the sunlight as it is very hot.
1	1_197_0	1	a dog has  lifted a tyre
1	1_197_1	2	how has it lifted the tyre?
1	1_197_2	1	it has used  its mouth.
1	1_197_3	2	the tyre is a black tyre
1	1_197_4	1	the dog is on the grass.
1	1_198_0	1	a man is riding a motor bicycle on a road
1	1_198_1	2	there are some people on the road.
1	1_198_2	1	what kind of birds are on the side of the road?
1	1_198_3	2	there are doves on the side of the road.
1	1_198_4	1	the doves are near some women seated.
1	1_199_0	1	a gentleman and young lady are walking along a road
1	1_199_1	2	the gentleman has a dog with him. what is the lady having?
