pair_id	image	sentence_id	bem_transcription
1	1_108_4	1	 alulimi luli pakati pameno ayapamulu nayapananshi nelyo nalusuma apanono
1	1_109_0	1	umwanakashi ufwele ikoti ilyakashika naiminina
1	1_109_1	2	kuli amabwamabwe bushe yafuma kwi
1	1_109_2	1	ifikulwa fyakale fyalelulwa namabwafye ukwabula amatafwali ichilangililo chilulwa ichilikunuma yamukashana
1	1_109_3	2	takulemoneka abantu bushe nifinshi alechita amwanakashi uku
1	1_109_4	1	iyinchende tebengi abafikako eicho naiminina alesenda ifikope
1	1_10_0	1	Utulumendo tubili tuli pakati pamumana natwiminina tuletamba akasuba inshita yachungulo
1	1_10_1	2	utulumendo natwiminina ndii mukutamba akasuba elyo kalewa Bushe ninshita nshi iyine?
1	1_10_2	1	Ilemoneka nimucungulo ukulingana na uko akasuba kaleya kakalewila.
1	1_10_3	2	Tulemoneka utwabotelela, mulandu nshi?
1	1_10_4	1	Twacilasamba, nomba natumfwa empepo.
1	1_110_0	1	abana abaume abaiche balimuchibansa 
1	1_110_1	2	bushe ninshi balechita bonse 
1	1_110_2	1	abengi Bali nabekala  nelyo babili ebalemoneka  balechifyana
1	1_110_3	2	ukwete umupila alemoneka alefwaya ukutoloka bushe managalo yashani
1	1_110_4	1	mumangalo aya kwaba amwakulonga umupila akapala umuseke akaba pamulu, chapali emo alefwaya ukulonga umupila
1	1_111_0	1	umukashana nakobeka banjo mumukoshi
1	1_111_1	2	bushe ninshi alechita
1	1_111_2	1	Ali naasamuka akanwa aleimba elyo alelosha banjo
1	1_111_3	2	kulemoneka impanga uko Ali bushe nikwi
1	1_111_4	1	awee tempanga ifikulwa filemonekela mupepi nangula filemonekela ifyakale
1	1_112_0	1	abanakashi babili balesambilishanya ukulwa
1	1_112_1	2	bushe balelwa nenshi
1	1_112_2	1	muminwe nabakwata utwakusontelako elyo balelwa
1	1_112_3	2	bushe ninshi bonse bafwele ifyakufimba pamenso 
1	1_112_4	1	mulubuli balechita ngabakusontafye ninshi bakulya eicho muchingilila amenso , nabafwala ifyakufimbapo
1	1_113_0	1	abantu bane Bali munshila
1	1_113_1	2	bonse nabafwala ifyampepo mulandu nshi
1	1_113_2	1	kuntu Bali kuntu kwatalala  eicho nemfula iloka iyamenshi iyakosa
1	1_113_3	2	kunuma kuli ifya buta bushe balechita inshi
1	1_113_4	1	ifibuta ifiloka nga imfula nelyo bonse Bali baleyenda nangula babili bansansa bamo amenshi ayakosa
1	1_114_0	1	akanama akabuta kaleyenda pamuchanga
1	1_114_1	2	bushe kanama nshi aka
1	1_114_2	1	awe katwishi nelyo fyonse fyapala imbwa
1	1_114_3	2	bushe Kali namasako ayashani.
1	1_114_4	1	amasako yantu yabuta tutu amenso eyafitileko
1	1_115_0	1	abantu baletapa amenshi
1	1_115_1	2	abengi Bali nefitambala bushe mulandu nshi
1	1_115_2	1	mukwai nintambi bakwata iyo bakekonka
1	1_115_3	2	bushe palipanga apakutapa amenshi
1	1_115_4	1	kulifye pamo apakutapa amenshi amwana umukashana euletapa namenshi elyo bomo abanakashi ebalebika bwino ifibudiza
1	1_116_0	1	imbwa ilimumulu natoloka
1	1_116_1	2	bushe ilifye imo
1	1_116_2	1	kwena kinaimbi iyinonoko iyifye pamuchanga uwanuta
1	1_116_3	2	bushe shikwete amasako yashani
1	1_116_4	1	iyikalamba ikwete amasako ayafita nelyo akana kakwete amasako ayafita kumutwe napamusana nelyo ukwashala yantu yabuta
1	1_117_0	1	imbwa shilebosa
1	1_117_1	2	bushe shilebosa inshi 
1	1_117_2	1	nakuba tachishibikwe bwino bwino
1	1_117_3	2	bushe shili shinga
1	1_117_4	1	shili shitatu shonse ishabuta amasako
1	1_118_0	1	ichimbayambaya umwandela abalwele chili kunuma yachimbayambaya chimbi
1	1_118_1	2	chimbayambaya mwendela abalwele chili achaonaika bushe finshi fyachiteke
1	1_118_2	1	Chali mubusanso abwapamusebo eicho kuntanshi nakonaika
1	1_118_3	2	nomba ichimbayambaya ichikalamba chileyakwi
1	1_118_4	1	chipalile chiletwala ichimbayambaya umwandela abalwele mukulungishi
1	1_119_0	1	abaume na umwanakashi balimuchibansa
1	1_119_1	2	amwanakashi kuli eko aloleshe bushe finshi filechitika
1	1_119_2	1	Bali muchibansa ichamangalilo nelyo abalikunse bena baletambA
1	1_119_3	2	amwanakashi naimya ukuboko ukwakumuso nimulandu nshi
1	1_119_4	1	Ali naiminina nelyo chipalile auletungulula abali muchibansa
1	1_11_0	1	Abaume bamo nafwala ikoti iya fita nabanakashi babili abakwata imishishi ishitali nabeminina munshita ya bushiku muchikulwa.
1	1_11_1	2	Balemwentula, bushe nifinshi ifilecitika?
1	1_11_2	1	Cilemoneka balekopwa ifikope fyakuikopa.
1	1_11_3	2	Cacine, Bush's nikwisa uku bali?
1	1_11_4	1	Balemoneka bali Ku cikuulwa cabwalwa, elyo abaume nabaishinga ifyakashika kumulomo.
1	1_120_0	1	amulumendo aleshelela pachibumba
1	1_120_1	2	Ali aleshemuka bushe aleshemuka pa nshi
1	1_120_2	1	nakuba nafwala kumolu ifyo ifishelele pamenshi ayakosa 
1	1_120_3	2	bushe eifyo ifilemoneka ifyabuta
1	1_120_4	1	eya mukwai ifyo filoka kunchende ishatalala
1	1_121_0	1	abaume nabanakashi nabeminina balelola
1	1_121_1	2	bonse Bali balelolesha panchende imo one bushe finshi filipo
1	1_121_2	1	panchende balelolesha palipanga bwino namenshi yalepongoloka mumbali
1	1_121_3	2	umwanakashi ulipantanshi akesonta bushe Bambi balechita inshi
1	1_121_4	1	abengi balesenda ifikope nelyo umo uli pakatalamukila alefwala bwino insapato
1	1_122_0	1	umulumendo alilakalekunkuluka natoloka 
1	1_122_1	2	bushe nipesa aleangalila 
1	1_122_2	1	aleangalila apo apebasungila imyotoka  mupepi neposhifumina
1	1_122_3	2	kulemoneka ukwafita bushe ninshita nshi
1	1_122_4	1	umulumendo aleangala inshita yabushiku ulubuto lulefuma kunyali 
1	1_123_0	1	imbwa iyakashika ilipalubilo
1	1_123_1	2	Ili muchakufwala bushe ninshi ilechitikA
1	1_123_2	1	ilechimfyanya mulubilo achakufwala chakuishibilako
1	1_123_3	2	bushe shili kwisa shimbi elyo bushe ichifimbile pakanya nichinshi
1	1_123_4	1	shimbi shifwile nashipita nangula shilikunuma nelyo ichili pakanwa chakuilwsha ukwisula akanwa pakubutuka ukutila ilanaka
1	1_124_0	1	ichimbayambaya ichakatapakatapa chili mumabwe
1	1_124_1	2	bushe imyotoka shilapita mumabwe
1	1_124_2	1	Shaba ishapusana nelyo pakati ipite mumabwe ifwile yakwata amawilo ayakulu
1	1_124_3	2	eya nomba bushe aya yikwete yakulu nangula shani
1	1_124_4	1	mukwai yakulu elo kutiyakwanisha ukwenda nokupita mumabwe
1	1_125_0	1	umwaume ali pakashele pamenshi ayakosa Ali mumulu
1	1_125_1	2	bushe amaka ayalutoloka yafuma kwi
1	1_125_2	1	ukuntu bangalila kwaba nga ichimufolo,eicho mumbali mwaba umwashelela 
1	1_125_3	2	bushe abaleangala mubwangalo bafwala ifyakuichingilila
1	1_125_4	1	awe kwabafye ukufwala ifyakufimba pamenso mukuichingilila kumwela
1	1_126_0	1	amwana alelilA
1	1_126_1	2	bushe ekele pe?
1	1_126_2	1	ekele palunkoto apo apali katapakatapa
1	1_126_3	2	bushe ninshi yachilachita
1	1_126_4	1	chipalile abafyashi bamusha eka
1	1_127_0	1	umukashana alikumbali yamulamba
1	1_127_1	2	bushe ninshi alechita
1	1_127_2	1	amukashana aleyolola ,nakuba naimya umusana nelyo amaboko nayanyanta panshi
1	1_127_3	2	bushe Ali nabanani kumulamba
1	1_127_4	1	Alifye eka takuli bambi abalemonekela mupepi
1	1_128_0	1	amwanakashi alebika umwana pachishelemuko
1	1_128_1	2	bushe pachishelemuko pali bani bambi
1	1_128_2	1	balifye beka takuli abana bambi abaleangalilapo
1	1_128_3	2	bushe umwana alekwanisha ukushelemuka eka
1	1_128_4	1	amangalo ayabana tayashupa alekwanisha
1	1_129_0	1	umwana aleyenda mukanshila
1	1_129_1	2	bushe finshi filechitika
1	1_129_2	1	aleyenda mukamusebo mumbali mulemoneka ifimuti muti namaluba
1	1_129_3	2	bushe finshi alechita amwana umulumendo
1	1_129_4	1	mukuboko kumo naimya akabafa nelyo kumbi ukuboko naimyafye mumulu
1	1_12_0	1	Umwaume umufishi nafwala ikoti iya fita elyo aleenda mumusebo nelyo kumbali kuli ichibumba ichitali  aca kuchikulwa.
1	1_12_1	2	Atontomesha kuntashi, bushe aleya kwi?
1	1_12_2	1	Alemoneka aleya kung'anda nalimo afuma ku ncito.
1	1_12_3	2	Kunuma kulemoneka abantu, bushe, nikwisa uku ali?
1	1_12_4	1	Ali mukalale, kumonafye ifikuulwa ifikulu ubwingi.
1	1_130_0	1	amwaume Ali pachibumba
1	1_130_1	2	bushe nifinshi alechita
1	1_130_2	1	alenina ichibumba ukwabula nentambo
1	1_130_3	2	bushe alifye bwino teti apone
1	1_130_4	1	eya mukwai nelyo chipalile alibelela ukunina ifibumba
1	1_131_0	1	umwaume umukote Ali mwituka
1	1_131_1	2	bushe mwituka nangula mwishito bashitishimo finshi
1	1_131_2	1	muli umusalu nefya pusana pusana 
1	1_131_3	2	bushe bashikulu baleshita finshi
1	1_131_4	1	chilile bayefwaya umusalu pamulandu beminine pamusalu
1	1_132_0	1	abanakashi batatu nabenina
1	1_132_1	2	bushe finshi balechita
1	1_132_2	1	umo nakuntamina panshi nelyo babili nabaloleshanya
1	1_132_3	2	Bali nafwala fimofine bushe nibakasukulu
1	1_132_4	1	awee mukwai Bali pashanchito balelanshanya
1	1_133_0	1	imbwa shibili shili muchani shilebutuka
1	1_133_1	2	akatalamukila pali ifimuti fitatu ifikalamba bushe nikumpanga shili
1	1_133_2	1	akatalamukila pali ifimuti fitatu ifikalamba bushe nikumpanga shili
1	1_133_3	2	awe shilifye muchibansa ichili nechani nelyo yena impanga ilemoneka pakatalamukila
1	1_133_4	1	imbwa shilifye shelaangala mu chani
1	1_134_0	1	imbwa alebutuka 
1	1_134_1	2	bushe elebutukila kwisa
1	1_134_2	1	chipalile pali efyo ilepepeka
1	1_134_3	2	bushe ikwete amasako ayashani
1	1_134_4	1	yakwata amasako ayafita nelyo naisula nakanwa ilyo ilebutukA
1	1_135_0	1	umwaume naiminina pelibwe elyo Ali pamulu epo bakulilila 
1	1_135_1	2	bushe emininepofye
1	1_135_2	1	awee natambalika iminwe
1	1_135_3	2	ilibwe lilemoneka ilya bulingana bushe alinabani
1	1_135_4	1	umulumendo alifye eka elyo alesenda ifikope
1	1_136_0	1	abaume nabanakashi nabekala betebulo
1	1_136_1	2	inyali nayaka bushe ninshita nshi
1	1_136_2	1	ninshita yabushiku kuli umwafita
1	1_136_3	2	bushe finshi balechita
1	1_136_4	1	balelanshanya elyo Bambi balenwako ifhakunwako
1	1_137_0	1	imbwa ilebutuka
1	1_137_1	2	bushe ilebutukafye nangula kuli ifyo ilepepeka
1	1_137_2	1	awe chishinka chipalile kuli efyo ilepepeka
1	1_137_3	2	bushe nikwi Ili?
1	1_137_4	1	kulemoneka katapkatapa chipalile nimuchibansa ili
1	1_138_0	1	umwana umwanakashi alwangala muchibansa
1	1_138_1	2	nafwala ifyabakasukulu bushe nikasukulu
1	1_138_2	1	eya mukwai imwana nikasukulu ileangala
1	1_138_3	2	bushe finshi alechita
1	1_138_4	1	"aletoloka intambo iyo I
ekete kuminwe konse "
1	1_139_0	1	umwaume aletolokela mumenshi
1	1_139_1	2	bushe patali shani epo alefuma ukufika pamenshi
1	1_139_2	1	mukwai patali nganshi ubususama pamenshi chibipa ngawatolokela pebwe
1	1_139_3	2	bushe ninshi filechitika pakutila atoloke
1	1_139_4	1	kuntu kwakaba , akasuba nakatula
1	1_13_0	1	 Kateya wamupila wa kuminwe ufwele ichisote ichapentwa nga inkonde naiminina panuma yamupila.
1	1_13_1	2	nafwala ishati iyakatapakatapa elyo Kulemoneka abantu abengi, bushe ni kwi ali?
1	1_13_2	1	Ali mucibansa kumonafye ifyo bashilile.
1	1_13_3	2	Nomba, mulandunshi afwalile icimpompo.
1	1_13_4	1	Aletiina ukumucena, uyu umupila wakubomfya amaka sana.
1	1_140_0	1	umwaume ali pakakunkuluka
1	1_140_1	2	tafwale ishati bushe itoloshi lyashani
1	1_140_2	1	yintu yakashika chipalile nakuba sana
1	1_140_3	2	bushe ninshi filechitika
1	1_140_4	1	amwaume ilyo alekunkuluka atoloka akashimbi Ako alalipanshi
1	1_141_0	1	imbwa ilimumulu natoloka
1	1_141_1	2	yakwata umuchila iwipi bushe amasako yashani
1	1_141_2	1	amasako yantu yakashika
1	1_141_3	2	bushe nikwisa imbwa ili
1	1_141_4	1	kulemonekafye katapkatapa namalata mumbali . chipalile numulubansa
1	1_142_0	1	imbwa iletolokela mumenshi
1	1_142_1	2	kulemoneka katapakatapa kumbali yamumana bushe imbwa tainganwina mumenshi
1	1_142_2	1	imbwa ishingi shali ishiba ukusamba mukamana tainganwina
1	1_142_3	2	bushe yakwata amasako ayashani
1	1_142_4	1	kwena yalifita fititi
1	1_143_0	1	umwana aleangala eka
1	1_143_1	2	bushe nifinshi aleangala
1	1_143_2	1	nakuba umwana ekelefye mukati muli ifyakwangasha
1	1_143_3	2	bushe umwana alilo nensansa nefyo aleangasha
1	1_143_4	1	eya mukwai pantu inga tafimisekeshe nganalila
1	1_144_0	1	abaume nabanakashi pamo abali basano nabekala
1	1_144_1	2	bushe pali abanakashi banga
1	1_144_2	1	pali abanakashi batatu bonse abachikulile
1	1_144_3	2	eya umukutila abaume balifye babili bushe balechita inshi
1	1_144_4	1	eya mukwai, balifye nabekala munshita yabushiku elyo balesenda ifikope
1	1_145_0	1	umwaume naiminina elyo alesenda ifikope
1	1_145_1	2	bushe eminine shani elyo alesenda ifikope
1	1_145_2	1	eminine naimya iminwe yonse mumulu
1	1_145_3	2	bushe inchende alekopwelapo ifikope palemoneka shani
1	1_145_4	1	yalikwata amabwe ayashala elyo umushili wasendwa namenshi. kunuma kuli nelibwe elikalambanshi 
1	1_146_0	1	umwana umwaume aleangala
1	1_146_1	2	bushe aleangalila pesa 
1	1_146_2	1	alipachimpelwa 
1	1_146_3	2	kuli ifimpelwa fitatu amwana Ali pachalubalilapo bushe ekele shani pachimpelwa
1	1_146_4	1	apakwikala abikilepo ichalufumo nelyo kumutwe nafwala nakasote 
1	1_147_0	1	umwana alikuchibansa ichangwangalila 
1	1_147_1	2	bushe alipesa
1	1_147_2	1	aleangalila kuchelelemuko
1	1_147_3	2	bushe alechita inshi
1	1_147_4	1	umwana aleshelemuka nelyo nalalanako elyo aleshelemuka
1	1_148_0	1	abaume nabanakashi baleangala uko ukulemonekafye ukwabuta
1	1_148_1	2	bushe ninshi bonse balechita
1	1_148_2	1	Bambi balekinkulusha  achitayela nelyo umo aleshelela pali achapala sitampa
1	1_148_3	2	bonse Bali nabafwala ifyampepo mulandu nshi
1	1_148_4	1	kuntu baikala kwalitalala apakalambanshi nakasuba takamoneka shimonshita
1	1_149_0	1	imbwa shibili shelepepekana
1	1_149_1	2	bushe nifinshi ifilecitika
1	1_149_2	1	ilikunuma ilepepeka iyo ilikuntashi iyikwete ichimuti ichilimukanwa
1	1_149_3	2	shonse shalikwata amasako ayabuta pamala bushe shikwete amasako ayashani kumbi
1	1_149_4	1	shonse shikwete amasako akashika kumusana
1	1_14_0	1	Abaume baleteya umupila wakuminwe kabili umo nakwata umupila muminwe nelyo bonse nabatoloka mumulu nabemya namaboko.
1	1_14_1	2	balechifyana munshita yabushiku , bushe mulandunshi bemishe amaboko?
1	1_14_2	1	Uuli nomupila alefya ukwingisha mukamuseke lelo uuli kuntanshi alefwaya amuleshe.
1	1_14_3	2	Cacine, elyo kunuma yabo kuli abantu abengi abekele bushe in kwi bali uku kwine?
1	1_14_4	1	Bali mu cibansa cakuteyelamo umupila wine.
1	1_150_0	1	abaume nabeminina nomukashana 
1	1_150_1	2	bushe Bali banga bonse pamo
1	1_150_2	1	bonse pamo Bali batatu umbi umwana umwanakashi nasensumana 
1	1_150_3	2	bushe nifinshi ifilecitika
1	1_150_4	1	abaume na umukashana balesenda ifikope ilyo bonse balemwetula
1	1_151_0	1	imbwa ilimumpanga
1	1_151_1	2	bushe nifinshi ifilecitika
1	1_151_2	1	kwena ileyendafye 
1	1_151_3	2	kulemoneka ukwabuta bushe mulandu nshi 
1	1_151_4	1	kuntu kwatalala eicho nemfula iloka yamenshi ayakosa eicho konse nakufimbwa nefyabuta
1	1_152_0	1	umwanakashi alepekanya ifyakulya 
1	1_152_1	2	bushe fyakulya fyanshita nshi
1	1_152_2	1	ifikulwa fyakachelo akepekanya apo apali amabanshi nefyakunompekeko
1	1_152_3	2	bushe alepakanishisha bani
1	1_152_4	1	alepekanishisha amwana ulipambali elyo alesenda ifikope
1	1_153_0	1	amwaume Ali muchikulwa
1	1_153_1	2	bushe nifinshi ifilecitika muchikulwa
1	1_153_2	1	alepepa kuli ifyo ifilemoneka nga kalesa 
1	1_153_3	2	bushe nifinshi fimbi ifilesangwa muchikulwa
1	1_153_4	1	muchikulwa mulemoneka amalubamaluba  kuntanshi epo babikile ka lesa akubumba
1	1_154_0	1	imbwa iyamasako ayakashika nayikala
1	1_154_1	2	bushe nifinshi ifilecitika
1	1_154_2	1	nakuba yakuli ikelefye  elyo ululimi lulipanse
1	1_154_3	2	bushe ikele kwisa
1	1_154_4	1	ikelefye panshi apo apalemoneka katapakatapa
1	1_155_0	1	abaume babili Bali pafikinkuluka
1	1_155_1	2	kulemoneka ulukungu bushe nifinshi ifilecitika
1	1_155_2	1	abaume balechifyana mulubilo nifikunkuluka
1	1_155_3	2	bushe ninshi bafwalile ifisote ifyaykama kumutwe
1	1_155_4	1	 fyakubachingila mukuichena inga kwachitika ubusanso
1	1_156_0	1	imbwa shibili shilebutuka
1	1_156_1	2	bushe ninshi shilebutuka
1	1_156_2	1	chipalile iyo iyili kunuma ilepepeka iyili kuntanshi
1	1_156_3	2	bushe shikwete amasako ayashani
1	1_156_4	1	iyili kuntanshi yintu yakashika nelyo iyili kunuma yintu yafita
1	1_157_0	1	umwaume ali palibemba
1	1_157_1	2	bushe nifinshi alechita
1	1_157_2	1	nayanta pakabwato akanono akakunkuluka namenshi
1	1_157_3	2	nomba inga aponena mumenshi teti anwine
1	1_157_4	1	amenshi tayasala inga taishiba ikusamba kunwin
1	1_158_0	1	umwaume naikala panshi apo apalemoneka katapakatapa
1	1_158_1	2	bushe ninshi filechitika
1	1_158_2	1	nakwata banjo iyo eyo alepyakula
1	1_158_3	2	kulemoneka katapakatapa konse bushe nikwisa Ali?
1	1_158_4	1	Alifye uko ukwikala abaletushako mwibala
1	1_159_0	1	abaume babili nabanakashi babili balelisha ifilimba
1	1_159_1	2	bushe balelishila kwisa
1	1_159_2	1	kwena balelishila munshila
1	1_159_3	2	mulandu wanshi 
1	1_159_4	1	chipalile balelomba ifyakusangula ifuma kulibamupita nshila
1	1_15_0	1	   Abaume abakote nababika pamabeya akamwana akanakashi akwakwata imishishi iyafita fititi .
1	1_15_1	2	Bushe, cinshi bemishe akamwana?
1	1_15_2	1	Cilemoneka balefwaya ukwendesha pantu kulemoneka abantu abengi.
1	1_15_3	2	Ee, umwana teti endeshe, nomba nikwisa bali?
1	1_15_4	1	Cilemoneka balefuma mukusefya fimo pantu umwana nakwata ne luba muminwe.
1	1_160_0	1	amwana amwaume aleangalila muchibansa
1	1_160_1	2	bushe aleangala amangalo ayashani
1	1_160_2	1	nakwata akamupila eko aleanka inga akaposa mumulu
1	1_160_3	2	amwana aleangala eko muchibansa bushe Ali nabanani
1	1_160_4	1	takulemoneka abantu mupepi nelyo amang'anda nefyakwangalilapo filemonekela pakatalamukila.
1	1_161_0	1	abakashana babili nabekala panshi
1	1_161_1	2	bushe nifinshi fili kuncende Bali aba bakashana
1	1_161_2	1	kuli icaani cakatapakatapa elo nabakwata na imbwa
1	1_161_3	2	akabwa Kabo kalemoneka akano elo kuli nefimuti
1	1_161_4	1	abakashana baletuusha baleshimika nelyashi
1	1_162_0	1	umulumendo alucibansa no mupila kuminwe
1	1_162_1	2	nga bwanagalonshi aleyangala mucibansa 
1	1_162_2	1	aleteya abwangalo bwakutanusha umupila
1	1_162_3	2	afwele akaputula kafiita elo alebutuka
1	1_162_4	1	umupila naukwata ifilembo elyo napantashi yelaya
1	1_163_0	1	imbwa imo ilebutuka mucaani icauma
1	1_163_1	2	imbwa ikete inshi kukanwa
1	1_163_2	1	naikata icimuti cauma kukanwa.ilemonka Shani imbwa
1	1_163_3	2	imbwa ilemoneka iikalamba elyo iyafiita no kubutamo
1	1_163_4	1	imbwa naimya umucila namatwi, elyo Pali notumabwe panshi 
1	1_164_0	1	abalumendo  baleyanga panse munshita yabushilu
1	1_164_1	2	cinshi wamwenako ati bushiku.abalumendo Bali baane.
1	1_164_2	1	pantu panse Pali apafita elo Bali abasansamuka saana
1	1_164_3	2	umo umulumendo naimya nebotolo icilemoneka ngecamwangashi
1	1_164_4	1	kunuuma yabo kuli ifikulwa ifitali saana
1	1_165_0	1	imbwa ileyabuka mukamana ukuya kwishilya
1	1_165_1	2	bushe nicinshi cilengele ukuti imbwa ilobela mumeshi
1	1_165_2	1	imbwa yalishiba saana ukusamba
1	1_165_3	2	ilemoneka iyatutuma pamulandu nempepo
1	1_165_4	1	iyi imbwa naifwala umushipi uwafiita mumukoshi
1	1_166_0	1	abalumendo babili bafwele ifyapalana
1	1_166_1	2	balecimfyana,elo nabapunamina kumuulu
1	1_166_2	1	bushe nganicinshi bapunamine kumuulu
1	1_166_3	2	balelolel ukwikata umupila babaposele
1	1_166_4	1	kunuuma yabalumendo aba kuli umwaume uufwele ifyabuta
1	1_167_0	1	abantu nabanina pa mpuunda shaffiita
1	1_167_1	2	nganifinshi fili kuncende uku
1	1_167_2	1	bali mumbali ya mumana elyo muli ne micaanga
1	1_167_3	2	bushi balecimfyana nangula baleyangalafye
1	1_167_4	1	Bali ngabaleyanga pantu impunda tashilebutuka
1	1_168_0	1	abaana babili baleyangala mumucaanga
1	1_168_1	2	Pali umwaume elo nomwanakashi
1	1_168_2	1	umwaume Ali pacimpwelu elyo umwanakashi naiminina mumucaanga
1	1_168_3	2	umukashana eulesunka umubiye pacimplwelu
1	1_168_4	1	balemoneka abasansamuka pamenso
1	1_169_0	1	umulumendo alepeepa fwanka,nabika nomushanga kukanwa
1	1_169_1	2	elemoneka nemishishi ishasalanga,tacishisakula
1	1_169_2	1	nakobeka nakachola pakubeya
1	1_169_3	2	nalimo asendala imishanga Sha fwaka mukachola
1	1_169_4	1	nafwala nomumbesa wafita elyo kuli nabantuumbali
1	1_16_0	1	Abaume na banakashi nabekala balelyasshika pumulu wampili nelyo pantanshi yabo baletamba imbi impili iyabeka
1	1_16_1	2	Pamulu wampili palemoneka ifyabuuta, bushe nifinshi?
1	1_16_2	1	Menshi makasa ayapangwa nemfula yabungululu.
1	1_16_3	2	Mulandunshi bekalile pashili amenshi makasa?
1	1_16_4	1	Baletiina ukutalala, kumonafye ifykufwala bafwele.
1	1_170_0	1	abakashana nabafwala imingila ishisuuma
1	1_170_1	2	bafwele ngabaleya mukusefya nangu mulishana
1	1_170_2	1	umwanakashi afwele umwingila wa makumbi makumbi nasansamuka
1	1_170_3	2	umbi nankwe nafwala umwingila wabuuta necakumutwe
1	1_170_4	1	bushe nicinshi cingalenga ukuti nasansamuke?
1	1_171_0	1	umulumendo natwala imbwa mukwenda
1	1_171_1	2	shili shinga imbwa aleyesha?
1	1_171_2	1	shili shitatu ishabuta namambalawila
1	1_171_3	2	umulumendo afwele ifyakufwa ifya fiita
1	1_171_4	1	Bali mumusebo muli nabotoka
1	1_172_0	1	imbwa shibili,imo Ili iyafiita.
1	1_172_1	2	bushe ishi imbwa kulwa shilelwa nangula shileyangala?
1	1_172_2	1	shilemoneka ngeshileyangalafye,ishi imbwa shikalamba
1	1_172_3	2	shileyangalila pacaani icayemba
1	1_172_4	1	elo takuli nangu umo umuntu uwakushimonako
1	1_173_0	1	imbwa naiminina,nayasamuna nakukanwa
1	1_173_1	2	balimika nemilando elo kuli motoka
1	1_173_2	1	pambali Pali notukulwa utunono
1	1_173_3	2	bushe muli utu utukulwa kuti mwaikala abantu
1	1_173_4	1	awe teti mwikale abantu,natucepesha saana
1	1_174_0	1	umulumendo na umukashana nabekala mumuputule
1	1_174_1	2	bekele pafipuuna fyabuuta tutu
1	1_174_2	1	"umukashana elemoneka uwasansamuka
"
1	1_174_3	2	bemoneka baletamba icitunshitunshi
